URL,Hotel Name,Region
https://www.airbnb.com/rooms/953543923159301267?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1740886255_P3i1zpfSlr7CD9PO&previous_page_section_name=1000,Numa | Medium Room next to Termini Station,Rome
https://www.airbnb.com/rooms/9916111?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-12&check_out=2025-03-19&children=0&infants=0&pets=0&photo_id=203149623&source_impression_id=p3_1740886255_P36gRLSog3HHdF44&previous_page_section_name=1000,Testaccio Home,Rome
https://www.airbnb.com/rooms/843904321807535645?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-08&check_out=2025-03-14&children=0&infants=0&pets=0&photo_id=1603947058&source_impression_id=p3_1740886255_P37JKT9JXHjj8QYK&previous_page_section_name=1000,Beautiful room in Pigneto neighbourhood,Rome
https://www.airbnb.com/rooms/8619339?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-06-30&check_out=2025-07-05&children=0&infants=0&pets=0&photo_id=1764559934&source_impression_id=p3_1740886255_P3z7JL2i7_TTxQlc&previous_page_section_name=1000,Roma Centro Testaccio RioneXX,Rome
https://www.airbnb.com/rooms/9642237?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-03&check_out=2025-03-08&children=0&infants=0&pets=0&photo_id=2091545253&source_impression_id=p3_1740886255_P366XQWzSMT1WM6O&previous_page_section_name=1000,Sweet House  San Lorenzo/Termini,Rome
https://www.airbnb.com/rooms/1202955013133488682?search_mode=regular_search&adults=1&check_in=2025-03-04&check_out=2025-03-09&children=0&infants=0&pets=0&source_impression_id=p3_1740886255_P3lcebzy5mr3y7BG&previous_page_section_name=1000,Colosseum Spectacular Axis Loft,Rome
https://www.airbnb.com/rooms/31344861?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-27&check_out=2025-08-01&children=0&infants=0&pets=0&photo_id=661329530&source_impression_id=p3_1740886255_P30V5oRA9PEjveWk&previous_page_section_name=1000,Domus Servilia bed & breakfast cozy room,Rome
https://www.airbnb.com/rooms/5507292?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&photo_id=39971090&source_impression_id=p3_1740886255_P33TniRq6GbvbZw3&previous_page_section_name=1000,Central Room Coliseum,Rome
https://www.airbnb.com/rooms/1014654873677457365?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-05-19&check_out=2025-05-24&children=0&infants=0&pets=0&photo_id=1791131746&source_impression_id=p3_1740886255_P3tp8wOg2dd14JKV&previous_page_section_name=1000,Room near metro,Rome
https://www.airbnb.com/rooms/729606055389038630?search_mode=regular_search&adults=1&check_in=2025-03-03&check_out=2025-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1740886255_P3zgnumfP2G9Td4c&previous_page_section_name=1000,Independent room INT.2 With Bathroom and Break Corner,Rome
https://www.airbnb.com/rooms/1026068560771449012?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&photo_id=1976958342&source_impression_id=p3_1740886255_P3ecQTIs5mWp7kO3&previous_page_section_name=1000,"Single room 2 metroA, 15 minutes to downtown",Rome
https://www.airbnb.com/rooms/13725809?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-22&check_out=2025-07-27&children=0&infants=0&pets=0&photo_id=401277102&source_impression_id=p3_1740886255_P3hVtCGVwi3E8pn1&previous_page_section_name=1000,lola's house,Rome
https://www.airbnb.com/rooms/1172928317845283675?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1740886255_P3h3UYD6Km1LOr1H&previous_page_section_name=1000,"Rome Easy Home, Casal Bertone",Rome
https://www.airbnb.com/rooms/1118587132320057561?search_mode=regular_search&adults=1&check_in=2025-03-03&check_out=2025-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1740886255_P3JEGsR264rndD5s&previous_page_section_name=1000,Collazia Street,Rome
https://www.airbnb.com/rooms/1336380315449385949?search_mode=regular_search&adults=1&check_in=2025-03-17&check_out=2025-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1740886255_P3XMnm_peSsiwpMF&previous_page_section_name=1000,A new Vitinia apartment.,Rome
https://www.airbnb.com/rooms/5828699?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&photo_id=1835238634&source_impression_id=p3_1740886255_P3OBncn_PGQ6DoHE&previous_page_section_name=1000,"Cozy & lovely room, near Colosseo! #1441",Rome
https://www.airbnb.com/rooms/1249256425275312730?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-24&check_out=2025-03-29&children=0&infants=0&pets=0&photo_id=2001068873&source_impression_id=p3_1740886260_P39k004JGA5eW94P&previous_page_section_name=1000,Casa a Roma at Termin room,Rome
https://www.airbnb.com/rooms/44652313?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-18&check_out=2025-03-23&children=0&infants=0&pets=0&photo_id=1606344032&source_impression_id=p3_1740886260_P3eNx54xOB0cqFrs&previous_page_section_name=1000,The Subway Apartment / Metro B Room,Rome
https://www.airbnb.com/rooms/922908521798852783?search_mode=regular_search&adults=1&check_in=2025-03-05&check_out=2025-03-10&children=0&infants=0&pets=0&source_impression_id=p3_1740886260_P33DCsO7YVKTBSaP&previous_page_section_name=1000,Sunny Rooms at Metro Castro Pretorio,Rome
https://www.airbnb.com/rooms/52007031?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-24&check_out=2025-03-29&children=0&infants=0&pets=0&photo_id=1356889939&source_impression_id=p3_1740886260_P35vP4bNx9rA_9ez&previous_page_section_name=1000,Bright and Cozy Room In Trastevere,Rome
https://www.airbnb.com/rooms/1129076183033461113?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-05&check_out=2025-03-10&children=0&infants=0&pets=0&photo_id=1886854191&source_impression_id=p3_1740886260_P3PUNDPjbRXShTze&previous_page_section_name=1000,"Single room, External bathroom",Rome
https://www.airbnb.com/rooms/1180965061879290540?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1740886260_P3G5jRsrYlAYfhil&previous_page_section_name=1000,Villa Pamphili Apartment,Rome
https://www.airbnb.com/rooms/2870299?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-08&check_out=2025-03-14&children=0&infants=0&pets=0&photo_id=1255475967&source_impression_id=p3_1740886260_P3eSnVnzSWgPxPW4&previous_page_section_name=1000,Beautiful room in Pigneto,Rome
https://www.airbnb.com/rooms/987561158738793036?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-22&check_out=2025-03-27&children=0&infants=0&pets=0&photo_id=1746033838&source_impression_id=p3_1740886260_P3kYmo1QVGyMeY9X&previous_page_section_name=1000,Trastervere at Sergio's room,Rome
https://www.airbnb.com/rooms/901405844313394925?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1740886260_P3EalsqKB6Dos0nJ&previous_page_section_name=1000,Exclusive Designer Apartment (Tiburtina metro),Rome
https://www.airbnb.com/rooms/633903300963263556?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&photo_id=1407467666&source_impression_id=p3_1740886260_P3IXPf3X8y1U87s0&previous_page_section_name=1000,Gulliver Cosmo 905,Rome
https://www.airbnb.com/rooms/926535238409854346?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-30&check_out=2025-05-05&children=0&infants=0&pets=0&photo_id=1688227643&source_impression_id=p3_1740886260_P3ldSckHFsFpI5Ol&previous_page_section_name=1000,"Private ROOM A, in a historical Italian Villa",Rome
https://www.airbnb.com/rooms/14272569?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-05-27&check_out=2025-06-01&children=0&infants=0&pets=0&photo_id=207429577&source_impression_id=p3_1740886260_P3HNjJa2yqVnDdcr&previous_page_section_name=1000,Comfortable and private room near Metro,Rome
https://www.airbnb.com/rooms/1283914455506854554?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-16&check_out=2025-07-21&children=0&infants=0&pets=0&photo_id=2057175064&source_impression_id=p3_1740886260_P3KewUSJ9WZ_9gWE&previous_page_section_name=1000,Essence,Rome
https://www.airbnb.com/rooms/7041569?search_mode=regular_search&adults=1&check_in=2025-03-04&check_out=2025-03-09&children=0&infants=0&pets=0&source_impression_id=p3_1740886260_P3A0Lb4eLdrZL8cL&previous_page_section_name=1000,Casa Roma 2,Rome
https://www.airbnb.com/rooms/605087145098023017?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&photo_id=1387922170&source_impression_id=p3_1740886260_P32Ot54Xt-sqjo1j&previous_page_section_name=1000,Casa A Roma with Private Bathroom,Rome
https://www.airbnb.com/rooms/11822001?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-23&check_out=2025-03-28&children=0&infants=0&pets=0&photo_id=1912715849&source_impression_id=p3_1740886260_P3gwzEQVPcO9ayBn&previous_page_section_name=1000,Delicious room,Rome
https://www.airbnb.com/rooms/827309810803076085?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-29&check_out=2025-04-03&children=0&infants=0&pets=0&photo_id=2043671235&source_impression_id=p3_1740886260_P3pIcG-E63RL3oBG&previous_page_section_name=1000,Licheni smart & nice private rooms,Rome
https://www.airbnb.com/rooms/2052914?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-22&check_out=2025-04-27&children=0&infants=0&pets=0&photo_id=18059391&source_impression_id=p3_1740886260_P3OVUvIJOh08MkEz&previous_page_section_name=1000,VillaBlanc Bed & Breakfast..! ,Rome
https://www.airbnb.com/rooms/12461886?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-06-08&check_out=2025-06-13&children=0&infants=0&pets=0&photo_id=1841131900&source_impression_id=p3_1740886265_P3VjbO4Z624GbUVM&previous_page_section_name=1000,Lovely room with private bathroom,Rome
https://www.airbnb.com/rooms/1313546471606437180?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-21&check_out=2025-04-26&children=0&infants=0&pets=0&photo_id=2050519221&source_impression_id=p3_1740886266_P3iXvN6RnNaf-egl&previous_page_section_name=1000,[ MetroLineA ] - PrivateRoom with Balcony °b,Rome
